programme,row_type,metric,period,value
Sedex Assessment,Target,Audit Completion Rate,2026-01-01,1.0
Sedex Assessment,Target,Audit Completion Rate,2026-02-01,1.0
Sedex Assessment,Target,Audit Completion Rate,2026-03-01,1.0
Sedex Assessment,Target,Audit Completion Rate,2026-04-01,1.0
Sedex Assessment,Target,Audit Completion Rate,2026-05-01,1.0
Sedex Assessment,Target,Audit Completion Rate,2026-06-01,1.0
Sedex Assessment,Target,Audit Completion Rate,2026-07-01,1.0
Sedex Assessment,Target,Audit Completion Rate,2026-08-01,1.0
Sedex Assessment,Target,Audit Completion Rate,2026-09-01,1.0
Sedex Assessment,Target,Audit Completion Rate,2026-10-01,1.0
Sedex Assessment,Target,Audit Completion Rate,2026-11-01,1.0
Sedex Assessment,Target,Audit Completion Rate,2026-12-01,1.0
Sedex Assessment,Target,% Targeted Suppliers Pre-screened,2025 EoY,0.8578313253012049
Sedex Assessment,Target,% Targeted Suppliers Pre-screened,2026-01-01,0.8530120481927711
Sedex Assessment,Target,% Targeted Suppliers Pre-screened,2026-02-01,0.8481927710843373
Sedex Assessment,Target,% Targeted Suppliers Pre-screened,2026-03-01,0.8433734939759036
Sedex Assessment,Target,% Targeted Suppliers Pre-screened,2026-04-01,0.8385542168674698
Sedex Assessment,Target,% Targeted Suppliers Pre-screened,2026-05-01,0.833734939759036
Sedex Assessment,Target,% Targeted Suppliers Pre-screened,2026-06-01,0.8289156626506022
Sedex Assessment,Target,% Targeted Suppliers Pre-screened,2026-07-01,0.8240963855421685
Sedex Assessment,Target,% Targeted Suppliers Pre-screened,2026-08-01,0.8192771084337347
Sedex Assessment,Target,% Targeted Suppliers Pre-screened,2026-09-01,0.8144578313253009
Sedex Assessment,Target,% Targeted Suppliers Pre-screened,2026-10-01,0.8096385542168671
Sedex Assessment,Target,% Targeted Suppliers Pre-screened,2026-11-01,0.8048192771084334
Sedex Assessment,Target,% Targeted Suppliers Pre-screened,2026-12-01,0.8
Sedex Assessment,Actual,Pre-Screen Suppliers contacted,2025 EoY,415.0
Sedex Assessment,Actual,Pre-Screen Suppliers contacted,2026-01-01,415.0
Sedex Assessment,Actual,Pre-Screen Suppliers contacted,2026-02-01,415.0
Sedex Assessment,Actual,Pre-Screen Suppliers contacted,2026-03-01,415.0
Sedex Assessment,,No Response,2025 EoY,59.0
Sedex Assessment,,No Response,2026-01-01,59.0
Sedex Assessment,,No Response,2026-02-01,59.0
Sedex Assessment,,No Response,2026-03-01,59.0
Sedex Assessment,Actual,Pre-Screened,2025 EoY,356.0
Sedex Assessment,Actual,Pre-Screened,2026-01-01,356.0
Sedex Assessment,Actual,Pre-Screened,2026-02-01,356.0
Sedex Assessment,Actual,Pre-Screened,2026-03-01,356.0
Sedex Assessment,Actual,"Following Pre-Screen, 'High Risk' Suppliers Invited to SAQ",2025 EoY,60.0
Sedex Assessment,Actual,"Following Pre-Screen, 'High Risk' Suppliers Invited to SAQ",2026-01-01,63.0
Sedex Assessment,Actual,"Following Pre-Screen, 'High Risk' Suppliers Invited to SAQ",2026-02-01,63.0
Sedex Assessment,Actual,"Following Pre-Screen, 'High Risk' Suppliers Invited to SAQ",2026-03-01,63.0
Sedex Assessment,Actual,Suppliers Responded to SAQ Invite,2025 EoY,27.0
Sedex Assessment,Actual,Suppliers Responded to SAQ Invite,2026-01-01,30.0
Sedex Assessment,Actual,Suppliers Responded to SAQ Invite,2026-02-01,32.0
Sedex Assessment,Actual,Suppliers Responded to SAQ Invite,2026-03-01,33.0
Sedex Assessment,Actual,Suppliers Completed SAQ,2025 EoY,15.0
Sedex Assessment,Actual,Suppliers Completed SAQ,2026-01-01,17.0
Sedex Assessment,Actual,Suppliers Completed SAQ,2026-02-01,20.0
Sedex Assessment,Actual,Suppliers Completed SAQ,2026-03-01,22.0
Sedex Assessment,Actual,On-site Audit Requested,2025 EoY,0.0
Sedex Assessment,Actual,On-site Audit Requested,2026-01-01,1.0
Sedex Assessment,Actual,On-site Audit Requested,2026-02-01,1.0
Sedex Assessment,Actual,On-site Audit Requested,2026-03-01,1.0
Sedex Assessment,Actual,On-site Audit Complete,2025 EoY,0.0
Sedex Assessment,Actual,On-site Audit Complete,2026-01-01,0.0
Sedex Assessment,Actual,On-site Audit Complete,2026-02-01,0.0
Sedex Assessment,Actual,On-site Audit Complete,2026-03-01,1.0
Sedex Assessment,Calc.,% Targeted Suppliers Pre-screened,2025 EoY,0.8578313253012049
Sedex Assessment,Calc.,% Targeted Suppliers Pre-screened,2026-01-01,0.8578313253012049
Sedex Assessment,Calc.,% Targeted Suppliers Pre-screened,2026-02-01,0.8578313253012049
Sedex Assessment,Calc.,% Targeted Suppliers Pre-screened,2026-03-01,0.8578313253012049
Sedex Assessment,Calc.,% Targeted Suppliers SAQ's Completed,2025 EoY,0.5555555555555556
Sedex Assessment,Calc.,% Targeted Suppliers SAQ's Completed,2026-01-01,0.5666666666666667
Sedex Assessment,Calc.,% Targeted Suppliers SAQ's Completed,2026-02-01,0.625
Sedex Assessment,Calc.,% Targeted Suppliers SAQ's Completed,2026-03-01,0.6666666666666666
Sedex Assessment,Calc.,Audit Completion Rate,2025 EoY,0.0
Sedex Assessment,Calc.,Audit Completion Rate,2026-01-01,0.0
Sedex Assessment,Calc.,Audit Completion Rate,2026-02-01,0.0
Sedex Assessment,Calc.,Audit Completion Rate,2026-03-01,1.0
Sedex Assessment,Calc.,Audit Completion Rate,2026-04-01,0.0
Sedex Assessment,Calc.,Audit Completion Rate,2026-05-01,0.0
Sedex Assessment,Calc.,Audit Completion Rate,2026-06-01,0.0
Sedex Assessment,Calc.,Audit Completion Rate,2026-07-01,0.0
Sedex Assessment,Calc.,Audit Completion Rate,2026-08-01,0.0
Sedex Assessment,Calc.,Audit Completion Rate,2026-09-01,0.0
Sedex Assessment,Calc.,Audit Completion Rate,2026-10-01,0.0
Sedex Assessment,Calc.,Audit Completion Rate,2026-11-01,0.0
Sedex Assessment,Calc.,Audit Completion Rate,2026-12-01,0.0
EcoVadis,Target,EcoVadis Rating = Good+,2025 EoY,0.98
EcoVadis,Target,EcoVadis Rating = Good+,2026-01-01,0.9691666666666666
EcoVadis,Target,EcoVadis Rating = Good+,2026-02-01,0.9583333333333333
EcoVadis,Target,EcoVadis Rating = Good+,2026-03-01,0.9474999999999999
EcoVadis,Target,EcoVadis Rating = Good+,2026-04-01,0.9366666666666665
EcoVadis,Target,EcoVadis Rating = Good+,2026-05-01,0.9258333333333332
EcoVadis,Target,EcoVadis Rating = Good+,2026-06-01,0.9149999999999998
EcoVadis,Target,EcoVadis Rating = Good+,2026-07-01,0.9041666666666665
EcoVadis,Target,EcoVadis Rating = Good+,2026-08-01,0.8933333333333331
EcoVadis,Target,EcoVadis Rating = Good+,2026-09-01,0.8824999999999997
EcoVadis,Target,EcoVadis Rating = Good+,2026-10-01,0.8716666666666664
EcoVadis,Target,EcoVadis Rating = Good+,2026-11-01,0.860833333333333
EcoVadis,Target,EcoVadis Rating = Good+,2026-12-01,0.85
EcoVadis,Target,EcoVadis Participation,2025 EoY,0.6218905472636815
EcoVadis,Target,EcoVadis Participation,2026-01-01,0.6283996683250415
EcoVadis,Target,EcoVadis Participation,2026-02-01,0.6349087893864014
EcoVadis,Target,EcoVadis Participation,2026-03-01,0.6414179104477613
EcoVadis,Target,EcoVadis Participation,2026-04-01,0.6479270315091212
EcoVadis,Target,EcoVadis Participation,2026-05-01,0.6544361525704812
EcoVadis,Target,EcoVadis Participation,2026-06-01,0.6609452736318411
EcoVadis,Target,EcoVadis Participation,2026-07-01,0.667454394693201
EcoVadis,Target,EcoVadis Participation,2026-08-01,0.6739635157545609
EcoVadis,Target,EcoVadis Participation,2026-09-01,0.6804726368159209
EcoVadis,Target,EcoVadis Participation,2026-10-01,0.6869817578772808
EcoVadis,Target,EcoVadis Participation,2026-11-01,0.6934908789386407
EcoVadis,Target,EcoVadis Participation,2026-12-01,0.7
EcoVadis,Actual,Total Network (Rated/ Declined/ In Progress),2025 EoY,201.0
EcoVadis,Actual,Total Network (Rated/ Declined/ In Progress),2026-01-01,210.0
EcoVadis,Actual,Total Network (Rated/ Declined/ In Progress),2026-02-01,245.0
EcoVadis,Actual,Total Network (Rated/ Declined/ In Progress),2026-03-01,281.0
EcoVadis,Actual,Declined / Refused,2025 EoY,22.0
EcoVadis,Actual,Declined / Refused,2026-01-01,22.0
EcoVadis,Actual,Declined / Refused,2026-02-01,19.0
EcoVadis,Actual,Declined / Refused,2026-03-01,20.0
EcoVadis,Actual,No-response,2025 EoY,54.0
EcoVadis,Actual,No-response,2026-01-01,53.0
EcoVadis,Actual,No-response,2026-02-01,50.0
EcoVadis,Actual,No-response,2026-03-01,49.0
EcoVadis,Actual,Rated & In Progress,2025 EoY,125.0
EcoVadis,Actual,Rated & In Progress,2026-01-01,135.0
EcoVadis,Actual,Rated & In Progress,2026-02-01,176.0
EcoVadis,Actual,Rated & In Progress,2026-03-01,212.0
EcoVadis,Actual,Rated,2025 EoY,123.0
EcoVadis,Actual,Rated,2026-01-01,131.0
EcoVadis,Actual,Rated,2026-02-01,173.0
EcoVadis,Actual,Rated,2026-03-01,184.0
EcoVadis,Actual,In Progress,2025 EoY,2.0
EcoVadis,Actual,In Progress,2026-01-01,4.0
EcoVadis,Actual,In Progress,2026-02-01,3.0
EcoVadis,Actual,In Progress,2026-03-01,28.0
EcoVadis,Actual,Valid Scorecard,2025 EoY,93.0
EcoVadis,Actual,Valid Scorecard,2026-01-01,104.0
EcoVadis,Actual,Valid Scorecard,2026-02-01,134.0
EcoVadis,Actual,Valid Scorecard,2026-03-01,143.0
EcoVadis,Actual,Expired validity,2025 EoY,30.0
EcoVadis,Actual,Expired validity,2026-01-01,27.0
EcoVadis,Actual,Expired validity,2026-02-01,39.0
EcoVadis,Actual,Expired validity,2026-03-01,41.0
EcoVadis,,Insufficient (0-24),2025 EoY,0.0
EcoVadis,,Insufficient (0-24),2026-01-01,0.0
EcoVadis,,Insufficient (0-24),2026-02-01,0.0
EcoVadis,,Insufficient (0-24),2026-03-01,0.0
EcoVadis,,Partial (25-44),2025 EoY,1.86
EcoVadis,,Partial (25-44),2026-01-01,1.86
EcoVadis,,Partial (25-44),2026-02-01,3.0
EcoVadis,,Partial (25-44),2026-03-01,3.0
EcoVadis,,Good(45-64),2025 EoY,38.129999999999995
EcoVadis,,Good(45-64),2026-01-01,38.129999999999995
EcoVadis,,Good(45-64),2026-02-01,54.0
EcoVadis,,Good(45-64),2026-03-01,59.0
EcoVadis,,Advanced (65-84),2025 EoY,47.43
EcoVadis,,Advanced (65-84),2026-01-01,60.0
EcoVadis,,Advanced (65-84),2026-02-01,67.0
EcoVadis,,Advanced (65-84),2026-03-01,67.0
EcoVadis,,Outstanding (85-100),2025 EoY,5.58
EcoVadis,,Outstanding (85-100),2026-01-01,4.0
EcoVadis,,Outstanding (85-100),2026-02-01,10.0
EcoVadis,,Outstanding (85-100),2026-03-01,14.0
EcoVadis,Calc.,% Targeted Suppliers with Valid Rating,2025 EoY,0.4626865671641791
EcoVadis,Calc.,% Targeted Suppliers with Valid Rating,2026-01-01,0.49523809523809526
EcoVadis,Calc.,% Targeted Suppliers with Valid Rating,2026-02-01,0.5469387755102041
EcoVadis,Calc.,% Targeted Suppliers with Valid Rating,2026-03-01,0.5088967971530249
EcoVadis,Calc.,EcoVadis Rating = Good+,2025 EoY,0.98
EcoVadis,Calc.,EcoVadis Rating = Good+,2026-01-01,0.9820192307692307
EcoVadis,Calc.,EcoVadis Rating = Good+,2026-02-01,0.9776119402985075
EcoVadis,Calc.,EcoVadis Rating = Good+,2026-03-01,0.9790209790209791
EcoVadis,Calc.,% Participation Rate,2025 EoY,0.6218905472636815
EcoVadis,Calc.,% Participation Rate,2026-01-01,0.6428571428571429
EcoVadis,Calc.,% Participation Rate,2026-02-01,0.7183673469387755
EcoVadis,Calc.,% Participation Rate,2026-03-01,0.7544483985765125
Rapid Ratings,Target,New Supplier Outreach,2025 EoY,264.0
Rapid Ratings,Target,New Supplier Outreach,2026-01-01,285.1666666666667
Rapid Ratings,Target,New Supplier Outreach,2026-02-01,306.33333333333337
Rapid Ratings,Target,New Supplier Outreach,2026-03-01,327.50000000000006
Rapid Ratings,Target,New Supplier Outreach,2026-04-01,348.66666666666674
Rapid Ratings,Target,New Supplier Outreach,2026-05-01,369.8333333333334
Rapid Ratings,Target,New Supplier Outreach,2026-06-01,391.0000000000001
Rapid Ratings,Target,New Supplier Outreach,2026-07-01,412.1666666666668
Rapid Ratings,Target,New Supplier Outreach,2026-08-01,433.3333333333335
Rapid Ratings,Target,New Supplier Outreach,2026-09-01,454.50000000000017
Rapid Ratings,Target,New Supplier Outreach,2026-10-01,475.66666666666686
Rapid Ratings,Target,New Supplier Outreach,2026-11-01,496.83333333333354
Rapid Ratings,Target,New Supplier Outreach,2026-12-01,518.0
Rapid Ratings,Target,Strategic / Critical Supplier Completion rate,2025 EoY,0.9
Rapid Ratings,Target,Strategic / Critical Supplier Completion rate,2026-01-01,0.9
Rapid Ratings,Target,Strategic / Critical Supplier Completion rate,2026-02-01,0.9
Rapid Ratings,Target,Strategic / Critical Supplier Completion rate,2026-03-01,0.9
Rapid Ratings,Target,Strategic / Critical Supplier Completion rate,2026-04-01,0.9
Rapid Ratings,Target,Strategic / Critical Supplier Completion rate,2026-05-01,0.9
Rapid Ratings,Target,Strategic / Critical Supplier Completion rate,2026-06-01,0.9
Rapid Ratings,Target,Strategic / Critical Supplier Completion rate,2026-07-01,0.9
Rapid Ratings,Target,Strategic / Critical Supplier Completion rate,2026-08-01,0.9
Rapid Ratings,Target,Strategic / Critical Supplier Completion rate,2026-09-01,0.9
Rapid Ratings,Target,Strategic / Critical Supplier Completion rate,2026-10-01,0.9
Rapid Ratings,Target,Strategic / Critical Supplier Completion rate,2026-11-01,0.9
Rapid Ratings,Target,Strategic / Critical Supplier Completion rate,2026-12-01,0.9
Rapid Ratings,Target,Lead time from Invite to Rating Completion (days),2025 EoY,75.0
Rapid Ratings,Target,Lead time from Invite to Rating Completion (days),2026-01-01,73.75
Rapid Ratings,Target,Lead time from Invite to Rating Completion (days),2026-02-01,72.5
Rapid Ratings,Target,Lead time from Invite to Rating Completion (days),2026-03-01,71.25
Rapid Ratings,Target,Lead time from Invite to Rating Completion (days),2026-04-01,70.0
Rapid Ratings,Target,Lead time from Invite to Rating Completion (days),2026-05-01,68.75
Rapid Ratings,Target,Lead time from Invite to Rating Completion (days),2026-06-01,67.5
Rapid Ratings,Target,Lead time from Invite to Rating Completion (days),2026-07-01,66.25
Rapid Ratings,Target,Lead time from Invite to Rating Completion (days),2026-08-01,65.0
Rapid Ratings,Target,Lead time from Invite to Rating Completion (days),2026-09-01,63.75
Rapid Ratings,Target,Lead time from Invite to Rating Completion (days),2026-10-01,62.5
Rapid Ratings,Target,Lead time from Invite to Rating Completion (days),2026-11-01,61.25
Rapid Ratings,Target,Lead time from Invite to Rating Completion (days),2026-12-01,60.0
Rapid Ratings,Actual,Total Targeted Suppliers,2025 EoY,265.0
Rapid Ratings,Actual,Total Targeted Suppliers,2026-01-01,265.0
Rapid Ratings,Actual,Total Targeted Suppliers,2026-02-01,272.0
Rapid Ratings,Actual,Total Targeted Suppliers,2026-03-01,421.0
Rapid Ratings,Actual,of which Total Publically available,2025 EoY,81.0
Rapid Ratings,Actual,of which Total Publically available,2026-01-01,81.0
Rapid Ratings,Actual,of which Total Publically available,2026-02-01,84.0
Rapid Ratings,Actual,of which Total Publically available,2026-03-01,86.0
Rapid Ratings,Actual,of which Total Outreach (Rated/ Declined/ In Progress),2025 EoY,184.0
Rapid Ratings,Actual,of which Total Outreach (Rated/ Declined/ In Progress),2026-01-01,184.0
Rapid Ratings,Actual,of which Total Outreach (Rated/ Declined/ In Progress),2026-02-01,188.0
Rapid Ratings,Actual,of which Total Outreach (Rated/ Declined/ In Progress),2026-03-01,335.0
Rapid Ratings,Actual,Declined / Refused,2025 EoY,37.0
Rapid Ratings,Actual,Declined / Refused,2026-01-01,37.0
Rapid Ratings,Actual,Declined / Refused,2026-02-01,40.0
Rapid Ratings,Actual,Declined / Refused,2026-03-01,40.0
Rapid Ratings,Actual,No-response/Inactive,2025 EoY,22.0
Rapid Ratings,Actual,No-response/Inactive,2026-01-01,22.0
Rapid Ratings,Actual,No-response/Inactive,2026-02-01,27.0
Rapid Ratings,Actual,No-response/Inactive,2026-03-01,27.0
Rapid Ratings,Actual,Rated & In Progress,2025 EoY,206.0
Rapid Ratings,Actual,Rated & In Progress,2026-01-01,206.0
Rapid Ratings,Actual,Rated & In Progress,2026-02-01,205.0
Rapid Ratings,Actual,Rated & In Progress,2026-03-01,354.0
Rapid Ratings,Actual,In Negotiation,2025 EoY,56.0
Rapid Ratings,Actual,In Negotiation,2026-01-01,56.0
Rapid Ratings,Actual,In Negotiation,2026-02-01,42.0
Rapid Ratings,Actual,In Negotiation,2026-03-01,176.0
Rapid Ratings,Actual,Full Health Rating,2025 EoY,150.0
Rapid Ratings,Actual,Full Health Rating,2026-01-01,150.0
Rapid Ratings,Actual,Full Health Rating,2026-02-01,163.0
Rapid Ratings,Actual,Full Health Rating,2026-03-01,178.0
Rapid Ratings,Actual,A,2025 EoY,107.0
Rapid Ratings,Actual,A,2026-01-01,107.0
Rapid Ratings,Actual,A,2026-02-01,115.0
Rapid Ratings,Actual,A,2026-03-01,120.0
Rapid Ratings,Actual,B,2025 EoY,20.0
Rapid Ratings,Actual,B,2026-01-01,20.0
Rapid Ratings,Actual,B,2026-02-01,30.0
Rapid Ratings,Actual,B,2026-03-01,32.0
Rapid Ratings,Actual,D,2025 EoY,4.0
Rapid Ratings,Actual,D,2026-01-01,4.0
Rapid Ratings,Actual,D,2026-02-01,4.0
Rapid Ratings,Actual,D,2026-03-01,5.0
Rapid Ratings,Actual,C,2025 EoY,19.0
Rapid Ratings,Actual,C,2026-01-01,19.0
Rapid Ratings,Actual,C,2026-02-01,14.0
Rapid Ratings,Actual,C,2026-03-01,21.0
Rapid Ratings,Calc.,% target supplier base,2025 EoY,0.5660377358490566
Rapid Ratings,Calc.,% target supplier base,2026-01-01,0.5660377358490566
Rapid Ratings,Calc.,% target supplier base,2026-02-01,0.5992647058823529
Rapid Ratings,Calc.,% target supplier base,2026-03-01,0.42280285035629456
Rapid Ratings,,Coverage Ambition,2025 EoY,190.07999999999998
Rapid Ratings,,Coverage Ambition,2026-01-01,205.32
Rapid Ratings,,Coverage Ambition,2026-02-01,220.56000000000003
Rapid Ratings,,Coverage Ambition,2026-03-01,235.80000000000004
Rapid Ratings,,Coverage Ambition,2026-04-01,251.04000000000005
Rapid Ratings,,Coverage Ambition,2026-05-01,266.2800000000001
Rapid Ratings,,Coverage Ambition,2026-06-01,281.5200000000001
Rapid Ratings,,Coverage Ambition,2026-07-01,296.7600000000001
Rapid Ratings,,Coverage Ambition,2026-08-01,312.0000000000001
Rapid Ratings,,Coverage Ambition,2026-09-01,327.2400000000001
Rapid Ratings,,Coverage Ambition,2026-10-01,342.48000000000013
Rapid Ratings,,Coverage Ambition,2026-11-01,357.72000000000014
Rapid Ratings,,Coverage Ambition,2026-12-01,372.96
