region,month,year,crf_usd,region_std
GC,2025-12-01,2025,4636.55,GC
AMER,2026-01-01,2026,1373787.72,AMER
AMER,2026-02-01,2026,1138581.7,AMER
AMER,2026-03-01,2026,799485.08,AMER
AMER,2026-04-01,2026,879430.53,AMER
AMER,2026-05-01,2026,1017840.51,AMER
AMER,2026-06-01,2026,602212.31,AMER
EMEAA,2026-01-01,2026,254585.33,EMEAA
EMEAA,2026-02-01,2026,217774.38,EMEAA
EMEAA,2026-03-01,2026,219001.87,EMEAA
EMEAA,2026-04-01,2026,449050.46,EMEAA
EMEAA,2026-05-01,2026,139471.12,EMEAA
EMEAA,2026-06-01,2026,88439.95,EMEAA
GC,2026-01-01,2026,179093.86,GC
GC,2026-02-01,2026,296167.17,GC
GC,2026-03-01,2026,108080.03,GC
GC,2026-04-01,2026,249889.34,GC
GC,2026-05-01,2026,120145.87,GC
GC,2026-06-01,2026,124445.77,GC
